1,'larusto01','BBWAA Manager of the Year',1983,'AL',NULL,NULL
2,'lasorto01','BBWAA Manager of the Year',1983,'NL',NULL,NULL
3,'andersp01','BBWAA Manager of the Year',1984,'AL',NULL,NULL
4,'freyji99','BBWAA Manager of the Year',1984,'NL',NULL,NULL
5,'coxbo01','BBWAA Manager of the Year',1985,'AL',NULL,NULL
6,'herzowh01','BBWAA Manager of the Year',1985,'NL',NULL,NULL
7,'mcnamjo99','BBWAA Manager of the Year',1986,'AL',NULL,NULL
8,'lanieha01','BBWAA Manager of the Year',1986,'NL',NULL,NULL
9,'andersp01','BBWAA Manager of the Year',1987,'AL',NULL,NULL
10,'rodgebu01','BBWAA Manager of the Year',1987,'NL',NULL,NULL
11,'larusto01','BBWAA Manager of the Year',1988,'AL',NULL,NULL
12,'lasorto01','BBWAA Manager of the Year',1988,'NL',NULL,NULL
13,'robinfr02','BBWAA Manager of the Year',1989,'AL',NULL,NULL
14,'zimmedo01','BBWAA Manager of the Year',1989,'NL',NULL,NULL
15,'torboje01','BBWAA Manager of the Year',1990,'AL',NULL,NULL
16,'leylaji99','BBWAA Manager of the Year',1990,'NL',NULL,NULL
17,'kellyto01','BBWAA Manager of the Year',1991,'AL',NULL,NULL
18,'coxbo01','BBWAA Manager of the Year',1991,'NL',NULL,NULL
19,'larusto01','BBWAA Manager of the Year',1992,'AL',NULL,NULL
20,'leylaji99','BBWAA Manager of the Year',1992,'NL',NULL,NULL
21,'lamonge01','BBWAA Manager of the Year',1993,'AL',NULL,NULL
22,'bakerdu01','BBWAA Manager of the Year',1993,'NL',NULL,NULL
23,'showabu99','BBWAA Manager of the Year',1994,'AL',NULL,NULL
24,'aloufe01','BBWAA Manager of the Year',1994,'NL',NULL,NULL
25,'pinielo01','BBWAA Manager of the Year',1995,'AL',NULL,NULL
26,'baylodo01','BBWAA Manager of the Year',1995,'NL',NULL,NULL
27,'oatesjo01','BBWAA Manager of the Year',1996,'AL','Y',NULL
28,'torrejo01','BBWAA Manager of the Year',1996,'AL','Y',NULL
29,'bochybr01','BBWAA Manager of the Year',1996,'NL',NULL,NULL
30,'johnsda02','BBWAA Manager of the Year',1997,'AL',NULL,NULL
31,'bakerdu01','BBWAA Manager of the Year',1997,'NL',NULL,NULL
32,'torrejo01','BBWAA Manager of the Year',1998,'AL',NULL,NULL
33,'dierkla01','BBWAA Manager of the Year',1998,'NL',NULL,NULL
34,'williji03','BBWAA Manager of the Year',1999,'AL',NULL,NULL
35,'mckeoja99','BBWAA Manager of the Year',1999,'NL',NULL,NULL
36,'manueje01','BBWAA Manager of the Year',2000,'AL',NULL,NULL
37,'bakerdu01','BBWAA Manager of the Year',2000,'NL',NULL,NULL
38,'pinielo01','BBWAA Manager of the Year',2001,'AL',NULL,NULL
39,'bowala01','BBWAA Manager of the Year',2001,'NL',NULL,NULL
40,'sciosmi01','BBWAA Manager of the Year',2002,'AL',NULL,NULL
41,'larusto01','BBWAA Manager of the Year',2002,'NL',NULL,NULL
42,'penato01','BBWAA Manager of the Year',2003,'AL',NULL,NULL
43,'mckeoja99','BBWAA Manager of the Year',2003,'NL',NULL,NULL
44,'showabu99','BBWAA Manager of the Year',2004,'AL',NULL,NULL
45,'coxbo01','BBWAA Manager of the Year',2004,'NL',NULL,NULL
46,'guilloz01','BBWAA Manager of the Year',2005,'AL',NULL,NULL
47,'coxbo01','BBWAA Manager of the Year',2005,'NL',NULL,NULL
48,'leylaji99','BBWAA Manager of the Year',2006,'AL',NULL,NULL
49,'girarjo01','BBWAA Manager of the Year',2006,'NL',NULL,NULL
50,'wedgeer01','BBWAA Manager of the Year',2007,'AL',NULL,NULL
51,'melvibo01','BBWAA Manager of the Year',2007,'NL',NULL,NULL
52,'maddojo99','BBWAA Manager of the Year',2008,'AL',NULL,NULL
53,'pinielo01','BBWAA Manager of the Year',2008,'NL',NULL,NULL
54,'sciosmi01','BBWAA Manager of the Year',2009,'AL',NULL,NULL
